Carga Horária,Categoria da Situação,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino,dia_inicio_ciclo,mes_inicio_ciclo,ano_inicio_ciclo,dia_fim_ciclo,mes_fim_ciclo,ano_fim_ciclo,dia_ocorrencia,mes_ocorrencia,ano_ocorrencia,delta_days
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-06-01,Região Sudeste,Não declarada,Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,6,2021,1152
4560,0,preta,2018-04-06,2021-02-06,20 a 24 anos,1.067,22.0,CPII,2021-03-01,Região Sudeste,Não declarada,Masculino,Vespertino,RJ,Campus Centro,6,4,2018,6,2,2021,1,3,2021,1060
4560,0,preta,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-05-01,Região Sudeste,Não declarada,Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,5,2021,1121
4220,0,branca,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,não declarada,2018-02-06,2020-12-20,15 a 19 anos,1.067,19.0,UFRPE - CODAI,2021-06-01,Região Nordeste,Não declarada,Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
4220,0,preta,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Integral,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
2460,0,branca,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Matutino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
2490,0,não declarada,2018-11-07,2020-12-24,15 a 19 anos,1.067,19.0,UFPI - CTF,2021-02-21,Região Nordeste,"RFP>3,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI,7,11,2018,24,12,2020,21,2,2021,837
2490,0,não declarada,2018-11-07,2020-12-24,15 a 19 anos,1.067,19.0,UFPI - CTF,2021-02-21,Região Nordeste,"RFP>3,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI,7,11,2018,24,12,2020,21,2,2021,837
2490,1,parda,2018-11-07,2020-12-24,15 a 19 anos,1.067,18.0,UFPI - CTF,2021-12-24,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI,7,11,2018,24,12,2020,24,12,2021,1143
2460,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
