Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
2580,Concluintes,96743205,parda,2018-02-05,2020-12-20,15 a 19 anos,1.0,17.0,UFCG - ETSC,2020-12-01,Região Nordeste,Não declarada,Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
4560,Concluintes,72443397,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Centro
4560,Concluintes,72456823,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72623875,parda,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Vespertino,RJ,Campus Centro
4560,Concluintes,72486142,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72753670,preta,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72725115,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Matutino,RJ,Campus Duque de Caxias CP
4560,Concluintes,72753046,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,21.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus Realengo II
4560,Concluintes,72313335,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72729599,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Engenho Novo II
4560,Concluintes,72727473,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Engenho Novo II
